,Abstrak
12,"Gerak pekerja ada pada game yang memiliki genre RTS (Real-Time Strategy). Gerak pekerja memiliki berbagai macam gerak. Oleh sebab itu dibutuhkan sebuah pendekatan konsep AI  untuk mendesain perilaku pekerja tersebut. Perilaku karakter tersebut harus ditambahi dengan AI (Artifical intelegent) agar perilakunya menjadi lebih hidup dan realistis.
Dalam penelitian ini AI yang digunakan adalah Finite State Machine. Finite State Machine digunakan untuk menentukan gerak pekerja terhadap parameter-parameter yang digunakan sebagai dasar gerak yang akan dilakukan . Selanjutnya akan disimulasikan pada game RTS dengan menggunakan game engine.
Hasil yang di peroleh dalam penelitian ini adalah penerapan metode Finite State machine untuk menentukan gerak pekerja berdasarkan parameter jumlah harta, prajurit, kondisi bangunan, dan stockpile (jumlah resources yang di bawa). 

Kata kunci : Game, Real-Time Strategy, Gerak Pekerja, Finite State Machine.
"
16,"Senyum merupakan salah satu fitur biometrik yang dapat dijadikan sebagai bukti autentik dari seseorang. Salah satu bentuk penerapan pengenalan pola ini adalah mengetahui senyum seseorang sehingga nantinya senyum tersebut dapat dikenali oleh komputer dan disimpan dalam database. Penelitian ini bertujuan mengembangkan penelitian yang sebelumnya yaitu pengenalan pola wajah. Sistem pengenalan ini ada dua tahapan, tahap pertama menghitung ekstraksi fitur pada gambar wajah menggunakan Gray level Co-Occurrence Matrix dan Gray Level Run Lenght Matrix untuk menghasilkan pola senyum, tahap kedua menghitung jarak kemiripan menggunakan Manhattan Distance yaitu semakin rendah nilai jarak suatu citra maka semakin tinggi tingkat kemiripannya. Tugas Akhir ini melakukan uji coba pada 201 gambar foto wajah dalam basis data yang dibagi menjadi tiga kelas yaitu diam, senyum, dan tawa untuk dilakukan ekstraksi fitur menggunakan Gray Level Run leght Matrix dan Gray level Co-Occurrence Matrix, serta menghitung  jarak kemiripan menggunakan Manhattan Distance. Setelah didapat nilai hasil pengukuran jarak kemiripan terhadap ketiga kelas, nilai tersebut dirata – rata untuk mendapatkan hasil yang diinginkan. Hasil yang diperoleh memiliki kemiripan  yang cukup tinggi dengan akurasi terbaik mencapai 100% pada GLCM dan 71% pada GLRM"
32,"Segmentasi adalah suatu proses untuk mengekstraksi atau menampilkan objek tertentu pada citra sehingga obyek tersebut terlihat lebih dominan. Pada penelitian Tugas Akhir ini  proses segmentasi menggunakan Operasi Morfologi yang diantaranya adalah Morfologi Bottom-Hat, Morfologi Dilasi, dan Morfologi Opening. Dalam penelitian ini ada dua tahapan proses segmentasi pembuluh darah retina pada citra fundus ini, yakni : tahapan Preprocessing dan tahapan Segmentasi. Untuk tahapan Preprocessing sendiri terdapat beberapa proses diantaranya : konversi citra RGB ke Green Channel agar mendapatkan komposisi saturasi yang tepat, perbaikan citra menggunakan Contrast Limited Adaptive Histogram Equalization (CLAHE) yaitu dengan meningkatkan nilai kontras pada citra Green Channel, kemudian ada proses filtering citra menggunakan 2D-Gaussian Filter yang berfungsi untuk memperjelas obyek pada citra. Untuk tahap kedua yaitu segmentasi citra yang terdiri dari beberapa proses diantaranya : Morfologi Bottom-Hat, Thresholding, Binerisasi, Adaptive Median Filter, Dilasi, Opening, dan perhitungan akurasi menggunakan Balanced Accuracy. Dari hasil uji coba yang dilakukan pada 20 citra Digital Retinal Image for Vessel Extraction (DRIVE) diperoleh hasil akhir segmentasi pembuluh darah pada retina dengan akurasi sebesar 85,97%. Operasi Morfologi terbukti dapat menghasilkan citra hasil segmentasi  yang cukup baik dengan akurasi yang tinggi."
36,"Kabupaten Bangkalan Mempunyai jumlah penduduk tahun 2010 sebanyak 906.761 yang diikuti dengan jumlah pengangguran yang cukup tinggi, tentunya pengangguran menjadi masalah sosial yang harus diperhatikan.  Berdasarkan permasalahan tersebut maka perlu adanya sistem peramalan sehingga bisa menekan angka pengangguran di Kabupaten Bangkalan. Sistem ini dibuat menggunakan Algoritma Backpropagation yang mampu melakukan penyesuaian bobot penghubung sehingga dapat dijadikan solusi untuk menentukan jumlah pengangguran. Jaringan-jaringan dilatih dengan menggunakan beberapa variabel masukan yaitu : data tahun 2006-2010. Setelah Sistem peramalan dengan menggunakan Algoritma Backpropagation ini melalui proses uji coba didapatkan nilai konfigurasi parameter terbaik ialah konfigurasi lerning rate sebesar 0.7 toleransi error 0.1, maksimal epoch 50 dan hidden layer 14.  Parameter tersebut dipilih menjadi parameter terbaik karena menghasilkan jumlah iterasi yang memiliki nilai akurasi error terbaik saat sistem melakukan pengujian yaitu didapatkan MSE sebesar 37206,6 dan MAPE sebesar 1,34% yang mana diperoleh jumlah pengangguran di Kabupaten Bangkalan pada tahun 2010 adalah 24.637 jiwa. Sedangkan pendataan jumlah pengangguan tahun 2010 yang dilakukan oleh BPS Kabupaten Bangakalan adalah 25008 jiwa.
	
Kata Kunci: Peramalan, Algoritma Backpropagation, Pengangguran.
"
44,"ABSTRAK
Perkembangan teknologi masa kini telah memungkinkan manusia untuk merasakan suatu pengalaman yang nyata tanpa perlu adanya dunia luar atau materi. Teknologi ini sering disebut teknologi virtual reality. Teknologi virtual reality dapat diterapkan di berbagai bidang salah satunya adalah didalam dunia pembelajaran. Didalam penelitian ini akan membuat suatu pembelajaran mengenai proses terjadinya hujan yang dikemas didalam simulasi virtual reality. Tujuan utama dari pengembangan virtual reality adalah untuk menirukan alam nyata ke dalam dunia maya semakin membuat kedekatan imitasi animasi realitas ke dalam dunia maya. Kehadiran teknologi virtual reality ini dimanfaatkan semaksimal mungkin dalam kehidupan sehari-hari. Didalam Penelitian ini ditetapkan perilaku yang menjadi objek adalah kegiatan proses terjadinya hujan. Kegunaan Second Life sebagai platform untuk menghidupkan konsep dalam pembelajaran proses terjadinya hujan menjadi 3 dimensi karena Second Life sangat memadai untuk memvisualisasikan sebuah bentuk 3D dan Second Life merupakan Platform yang sangat mendukung untuk membuat suatu pembelajaran. Hasil uji coba visualisasi terhadap responden mendapatkan suatu pembelajaran visualisasi proses hujan dengan cara yang berbeda dan menarik dan mudah dimengerti. 

Kata kunci: Virtual Reality (VR), Multimedia Proses Hujan, Second Life 
"
46,"Pelayanan guru terhadap siswa dan kepada pihak pihak terkait (walikelas dan bidang Kurikulum) dalam pengumpulan penilaian semester dan tahunan masih bersifat manual dan lambat. Sebagai solusi yang tepat maka aplikasi web sistem akademik sekolah dibangun untuk mengatasi permasalahan yang dihadapi oleh segenap stakeholder sekolah.. Dengan adanya aplikasi website ini, pihak kurikulum,wali kelas serta guru dapat menyelesaikan waktu dalam penyerahan nilai raport kepada siswa. Dan juga tidak membatasi aktivitas guru dalam melakukan tugasnya terlebih pada saat pengumpulan nilai siswa-siswi.
Kata kunci : website, stakeholder, sistem akademik sekolah, kurikulum "
51,"Dinas Kebudayaan dan Pariwisata Provinsi Jawa Timur memiliki tujuan yang harus dicapai yang erat kaitannya dengan pemerataan pengetahuan masyarakat mengenai obyek-obyek wisata di seluruh Jawa Timur. Pencapaian tujuan tersebut dapat dilakukan dengan pemanfaatan sumber daya yang dimiliki secara optimal. Prosedur yang ada selama ini belum ada software penetapan obyek wisata unggulan  secara khusus. Untuk itu, perlu dibuat sebuah sistem pendukung keputusan. Salah satu metode yang cocok dalam penelitian ini adalah metode Fuzzy Anayitical Hierarchy Process (FAHP) dan Multi Attribute Utility Theory (MAUT). Metode ini mampu menyeleksi dan mencari alternatif terbaik dari sejumlah pilihan berdasarkan kriteria yang telah ditetapkan dengan mencari nilai pembobotan untuk setiap kriteria beserta perangkingannya. Selain membantu kinerja admin, juga berpengaruh terhadap masyarakat sebagai user yang bisa menggunakan sistem mengingat berwisata merupakan kebutuhan jasmani yang penting tanpa kita sadari karena dapat menghilangkan penat akibat beraktivitas seharian. Hasil penelitian ini mampu menyeleksi pariwisata unggulan dengan perangkingan obyek wisata terbaik sesuai penilaian sistem berdasarkan prioritas kriteria yang telah ditetapkan. Dari hasil uji coba sistem menunjukkan nilai akurasi dalam sistem pendukung keputusan pariwisata unggulan sebesar 80%.


Kata Kunci: Sistem Pendukung Keputusan, Fuzzy Analitical Hirarcy Process, Multi Attribute  Utility Theory, Pariwisata Unggulan
"
54,"Pengertian jenis kelamin adalah merupakan suatu akibat dari dimorfisme seksual. Telah dilakukan penelitian di Jepang bahwa burung gagak dapat membedakan jenis kelamin sebuah individu. Salah satu bentuk penerapan penentuan jenis kelamin (Jender) ini adalah mengetahui bentuk mata dan hidung seseorang sehingga bentuk mata dan hidung tersebut dapat dikenali oleh komputer dan disimpan dalam database. Pada penelitian Tugas Akhir terdapat dua tahapan, yaitu tahapan pertama menghitung ekstraksi fitur mata dan hidung menggunakan Gray Level Run Length Matrix untuk menghasilkan pola mata dan hidung. Tahap kedua menghitung jarak kemiripan menggunakan Euclidean Distance, yaitu semakin rendah nilai jarak suatu citra maka akan semakin tinggi tingkat kemiripannya. Penelitian Tugas Akhir ini dilakukan uji coba pada 200 gambar mata dan hidung didalam database yang akan dibagi menjadi dua kelas yaitu laki - laki dan perempuan untuk dilakukan ekstraksi fitur menggunakan Gray Level Run Length Matrix dan hasil ekstraksi fitur akan dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Setelah didapat nilai hasil pengukuran jarak kemiripan terhadap kedua kelas, nilai tersebut akan dirata – rata untuk mendapatkan hasil yang diinginkan. Dari hasil uji coba perbandingan rata – rata nilai hasil pengukuran Euclidean Distance diperoleh akurasi sebesar 75% pada 20 data uji coba dan 180 dengan jumlah citra yang ditampilkan adalah 5."
56,"Dalam setiap perusahaan tentunya memiliki data penting berkaitan dengan kegiatan bisnis mereka yang perlu dijaga dan diamankan dari orang yang tidak berhak mengaksesnya. Seringkali  muncul aksi ilegal yang mencoba merusak server bahkan sampai mencuri data perusahaan bisa mengakibatkan kesalahan fatal terhadap kelancaran kegiatan bisnis perusahaan disebabkan data yang tidak valid lagi. Menyikapi masalah tersebut, maka diperlukannya sistem monitoring keamanan yang mampu mengamankan server dari tindakan penyusupan. Intrusion Prevention System (IPS) merupakan solusi yang mampu memberikan keamanan pada jaringan server dari tindakan penyusupan. IPS ini mengembangkan Snort sebagai fungsi pendeteksi yang dikombinasikan dengan IPTables Firewall sebagai pencegah adanya penyusupan. IPS ini juga dilengkapi dengan user interface BASE (Basic Analysis and Security Engine)  dan manajemen rule sehingga memudahkan admin untuk memonitor sistem keamanan dari tindakan penyusupan ke jaringan server. Snort akan membuat alert ketika terdeteksi adanya serangan yang disimpan dalam log Snort dan memerintahkan IPTables untuk melakukan drop terhadap alamat penyerang. Kemudian detail serangan bisa dilihat pada tampilan user interface BASE. Dari hasil pengujian, didapatkan bahwa Snort dan IPTables telah bekerja dengan baik menjadi IPS yang mampu memberikan respon secara cepat ketika terdeteksi adanya serangan. Waktu tanggap rata-rata kurang dari 5 detik, dari awal serangan sampai terdeteksinya alert."
60,"Saat ini pencarian citra berbasis teks sudah tidak efektif lagi karena adanya penilaian subjektif dari pengguna dalam merepresentasikan suatu citra. Karena itu diperlukan suatu sistem yang dapat menangani pencarian citra menggunakan query berupa citra atau disebut Sistem Perolehan Citra berbasis Isi (SPCI) atau Content Based Image Retrieval (CBIR). Dengan hal yang seperti ini pada CBIR meskipun ada yang memodifikasi atau merubah nama filenya, tidaklah membuat image searching menjadi rancu karena hal ini tidak didasarkan atas teks atau nama dari sebuah file melainkan berdasarkan ciri baik warna, bentuk maupun tekstur. 
 Dalam  penelitian  Tugas Akhir ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan kelas citra yang  berbeda yaitu: bangunan, bus, dinosaurus, gajah, gunung, kuda, mawar, dan pantai sebagai objek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gabor Filter. Sehingga dari hasil ekstraksi fitur dilakukan pengukuran kemiripan dengan feature vector citra yang sudah diekstraksi terlebih dahulu yang tersimpan dalam database dengan menggunakan metode Euclidean Distance. Citra query dan citra database yang dipergunakan sebanyak 200 citra dengan delapan kelas citra didalamnya. 
Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=0,02 diperoleh akurasi rata-rata presisi sebesar 0.46 pada data pelatihan 190 dan data uji coba 10 dengan ukuran kernel 3x3 dan jumlah citra yang ditampilkan sebanyak 15 citra termirip dengan citra query dan pengenalan terbaik pada kelas bangunan yaitu dengan akurasi presisi 60% .

Kata Kunci: Tekstur, Sistem Perolehan Citra Berbasis Isi, Gabor Filter, Euclidean Distance.
"
