text_clean,text_preprocessed,polarity_score,polarity
jika rakyat sudah tidak percaya dan hilangnya kepercayaan terhadap pemerintah maka jurus terakhir oligarki pemerintah akan  memanfaatkan alat bantu negara  lumpuhkan akses mereka     didu,"['rakyat', 'percaya', 'hilang', 'percaya', 'perintah', 'jurus', 'oligarki', 'perintah', 'manfaat', 'alat', 'bantu', 'negara', 'lumpuh', 'akses', 'didu']",9,positif
baae    wkwkwkwkwkwkwkwkkkkk  kecewa donk,"['baae', 'wkwkwkwkwkwkwkwkkkkk', 'kecewa', 'donk']",0,netral
perjuangan nek ngomonge ngawur ngenekudu diajak nang notaris pekan duit,"['juang', 'nek', 'ngomonge', 'ngawur', 'ngenekudu', 'ajak', 'nang', 'notaris', 'pekan', 'duit']",-4,negatif
hut ke provinsi banten ridwan kamil dan anies baswedan kompak ucapkan selamat,"['hut', 'provinsi', 'banten', 'ridwan', 'kamil', 'anies', 'baswedan', 'kompak', 'ucap', 'selamat']",6,positif
saewad  para kadrun siap  mendompleng nasdem stlh gerindra tak bs didompleng 🤣🤣,"['saewad', 'kadrun', 'dompleng', 'nasdem', 'stlh', 'gerindra', 'bs', 'dompleng', '']",-6,negatif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          hahaha bukan maen dah serem bener yak 😁😂😂🤭,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'hahaha', 'maen', 'dah', 'rem', 'bener', 'yak', '']",-7,negatif
wkwkwk,['wkwkwk'],3,positif
strategi  mengumumkan capres kontroversi dan lebih awal adalah agar nama mereka jadi perbincangan dikalangan masyarakat dan media  belum tentu jadi capres benaran,"['strategi', 'umum', 'capres', 'kontroversi', 'nama', 'bincang', 'kalang', 'masyarakat', 'media', 'capres', 'benar']",-3,negatif
tanggal  buzzerp bunuh diri masal 😆😆😆 amanlah indonesia the end😆,"['tanggal', 'buzzerp', 'bunuh', 'masal', '', 'aman', 'indonesia', 'the', 'end']",-9,negatif
akhlak amp adab menjadikan  mkin bersinar di mata dunia,"['akhlak', 'amp', 'adab', 'jadi', 'mkin', 'sinar', 'mata', 'dunia']",3,positif
yuntho  😂🤣😅,"['yuntho', '']",0,netral
tinggal nunggu waktunya anies baswedan memakai rompi oranye,"['tinggal', 'nunggu', 'anies', 'baswedan', 'pakai', 'rompi', 'oranye']",-1,negatif
betuuulsiap dukung pks demokrat dan nasdem untuk memenangkan anies baswedan menuju indonesia maju dan damai 👍,"['betuuulsiap', 'dukung', 'pks', 'demokrat', 'nasdem', 'menang', 'anies', 'baswedan', 'indonesia', 'maju', 'damai', '']",3,positif
djelantik goodbye nasdem usai surya paloh dukung anies baswedan jadi capres  tak setuju  tribun medan,"['djelantik', 'goodbye', 'nasdem', 'surya', 'paloh', 'dukung', 'anies', 'baswedan', 'capres', 'tuju', 'tribun', 'medan']",0,netral
yuntho   panggung monyet yaman   halal  berkah  bersyariah,"['yuntho', 'panggung', 'monyet', 'yaman', 'halal', 'berkah', 'bersyariah']",1,positif
percaya sama guwe hut  kelak  bakal jadi partai besar pasca  jadi presiden dan perjuangan akan menjadi partai nyungsep di  nah setelah itu apa kamu juga akan menjilat lg di,"['percaya', 'guwe', 'hut', 'kelak', 'partai', 'pasca', 'presiden', 'juang', 'partai', 'nyungsep', 'jilat', 'lg']",2,positif
